x_gyro,y_gyro,z_gyro,time
0.03753662,0.028884888,-0.012969971,1508224062087
-0.06472778,-0.10746765,-0.02041626,1508224062110
-0.1254425,-0.115982056,-0.012969971,1508224062125
-0.049819946,-0.008392334,-1.8310547E-4,1508224062146
0.05458069,0.09919739,-0.002319336,1508224062168
0.05458069,0.09919739,-0.002319336,1508224062189
0.0034484863,-0.009460449,0.01260376,1508224062215
-0.061538696,-0.041412354,8.8500977E-4,1508224062231
-0.014663696,0.008651733,0.0040740967,1508224062257
0.022628784,-0.0073242188,8.8500977E-4,1508224062273
0.041793823,-0.013717651,-0.01083374,1508224062294
0.027954102,0.009719849,0.0030212402,1508224062321
0.010910034,-0.012649536,0.0072784424,1508224062337
-0.016799927,-0.013717651,0.005142212,1508224062360
0.009841919,-0.028640747,-0.00869751,1508224062381
0.024749756,0.034210205,-0.015090942,1508224062414
0.0034484863,-0.030761719,-0.0012512207,1508224062434
-0.019989014,-0.03289795,0.001953125,1508224062460
0.031143188,-0.005203247,0.006210327,1508224062499
-0.006134033,0.03315735,-0.00869751,1508224062532
-8.087158E-4,-0.047805786,-1.8310547E-4,1508224062563
0.005584717,0.012908936,-0.0033721924,1508224062584
-0.0040130615,-0.0062713623,-0.019363403,1508224062632
-0.009338379,-0.0019989014,-0.005508423,1508224062664
0.002380371,0.006515503,-0.014038086,1508224062701
-0.0072021484,-9.460449E-4,-0.009765625,1508224062717
-0.0029449463,0.018234253,0.0030212402,1508224062738
-0.0231781,0.006515503,-0.0033721924,1508224062775
-0.021057129,-9.460449E-4,-0.0012512207,1508224062807
0.019424438,1.2207031E-4,0.006210327,1508224062823
0.0013122559,0.026763916,0.005142212,1508224062838
0.0034484863,-0.038223267,0.0040740967,1508224062865
-0.011459351,0.021438599,-0.0033721924,1508224062887
-0.016799927,0.034210205,0.001953125,1508224062913
0.0045166016,-0.027572632,-1.8310547E-4,1508224062939
0.002380371,0.029953003,-0.00869751,1508224062960
-0.012527466,-9.460449E-4,0.006210327,1508224062986
-0.008270264,-0.013717651,8.8500977E-4,1508224063014
0.0034484863,-0.01159668,-0.0033721924,1508224063040
0.017303467,-0.0062713623,-0.002319336,1508224063073
0.0034484863,0.007583618,-0.002319336,1508224063109
-0.013595581,0.008651733,-0.01083374,1508224063136
-0.030639648,0.007583618,-0.0033721924,1508224063163
-0.028503418,-0.033966064,-1.8310547E-4,1508224063184
-0.012527466,-0.017990112,-0.01083374,1508224063211
0.021560669,0.028884888,-0.017227173,1508224063237
0.010910034,0.019302368,0.001953125,1508224063269
-0.03489685,-0.033966064,-0.006576538,1508224063290
-0.017852783,-0.0030670166,-0.02255249,1508224063317
0.052444458,0.028884888,0.0072784424,1508224063352
-0.014663696,0.0043945312,8.8500977E-4,1508224063378
-0.029571533,-0.009460449,-0.0033721924,1508224063410
0.016235352,-0.0030670166,-0.0033721924,1508224063431
0.020492554,0.018234253,-0.0076446533,1508224063456
-0.018920898,0.013977051,0.006210327,1508224063498
-0.025314331,-0.025436401,0.005142212,1508224063524
0.011962891,1.2207031E-4,-0.002319336,1508224063545
0.04286194,0.05445862,-0.0119018555,1508224063565
0.014099121,0.010772705,-0.015090942,1508224063581
-0.040222168,-0.05845642,0.0040740967,1508224063601
-0.04875183,-0.06591797,8.8500977E-4,1508224063632
-0.021057129,0.012908936,0.0040740967,1508224063659
0.04711914,0.018234253,-0.0033721924,1508224063679
-0.009338379,-0.015853882,0.006210327,1508224063711
-0.038101196,-0.020111084,0.01260376,1508224063732
-0.029571533,-0.016921997,0.010467529,1508224063758
0.005584717,-0.0030670166,-0.009765625,1508224063779
0.03753662,0.024627686,-0.00869751,1508224063812
0.016235352,0.003326416,0.0030212402,1508224063833
-0.016799927,-0.015853882,-0.01083374,1508224063859
0.005584717,-0.008392334,-0.006576538,1508224063885
-0.001876831,-0.004135132,0.0030212402,1508224063908
-0.0040130615,0.0043945312,0.001953125,1508224063928
0.0045166016,0.009719849,-0.012969971,1508224063960
-0.008270264,0.009719849,-0.0119018555,1508224063980
-0.016799927,0.0054473877,0.0040740967,1508224063996
0.019424438,-0.01159668,0.001953125,1508224064037
0.018356323,0.020370483,-0.006576538,1508224064059
-0.009338379,-0.017990112,-0.006576538,1508224064086
-0.016799927,-0.026504517,8.8500977E-4,1508224064106
-0.0050811768,0.009719849,0.006210327,1508224064122
0.013031006,1.2207031E-4,0.0030212402,1508224064143
0.019424438,0.012908936,-0.00869751,1508224064164
0.020492554,0.034210205,-0.002319336,1508224064180
0.005584717,0.032089233,-0.0012512207,1508224064206
-0.018920898,-0.017990112,-0.002319336,1508224064228
-0.010406494,-9.460449E-4,0.0040740967,1508224064253
0.016235352,0.019302368,8.8500977E-4,1508224064274
0.022628784,0.003326416,-0.0044403076,1508224064301
-0.008270264,0.019302368,-0.005508423,1508224064334
-0.018920898,0.017166138,0.010467529,1508224064360
-0.026382446,-0.0446167,0.001953125,1508224064381
-0.0040130615,-0.0030670166,-0.009765625,1508224064402
0.02368164,0.032089233,-0.0119018555,1508224064428
0.0077056885,0.018234253,-0.0119018555,1508224064449
-0.019989014,-0.026504517,-0.0033721924,1508224064486
-0.0050811768,-0.0030670166,-0.0044403076,1508224064506
0.019424438,0.03527832,-1.8310547E-4,1508224064539
-0.009338379,-0.005203247,-0.0044403076,1508224064571
-0.001876831,-0.0073242188,0.016860962,1508224064597
0.0066375732,0.009719849,-0.0044403076,1508224064632
-8.087158E-4,-9.460449E-4,0.0040740967,1508224064659
-0.029571533,-0.026504517,0.014724731,1508224064696
-0.006134033,0.0043945312,-0.02255249,1508224064723
0.008773804,0.027816772,-0.021484375,1508224064749
0.008773804,-0.026504517,-0.009765625,1508224064776
0.0013122559,-0.053131104,-0.0076446533,1508224064802
-0.009338379,0.016113281,-0.0044403076,1508224064841
-0.019989014,0.034210205,8.8500977E-4,1508224064861
-0.022125244,0.015045166,0.001953125,1508224064890
-0.010406494,-0.005203247,-0.0033721924,1508224064927
0.009841919,1.2207031E-4,-0.012969971,1508224064947
0.009841919,0.0054473877,-0.015090942,1508224064968
2.4414062E-4,-0.017990112,-0.009765625,1508224064990
0.0013122559,-9.460449E-4,-0.014038086,1508224065027
-0.0072021484,0.0043945312,-0.014038086,1508224065047
-0.019989014,0.019302368,-0.016159058,1508224065080
-0.041290283,-0.0019989014,-0.0044403076,1508224065125
-0.001876831,-9.460449E-4,-0.0033721924,1508224065170
-0.013595581,0.0043945312,-0.019363403,1508224065197
-0.011459351,0.01184082,-0.015090942,1508224065223
2.4414062E-4,0.0256958,-0.023620605,1508224065259
-0.001876831,0.026763916,-0.016159058,1508224065281
-0.010406494,-0.025436401,0.006210327,1508224065318
0.002380371,-0.022247314,0.0040740967,1508224065334
0.036468506,0.024627686,-0.0044403076,1508224065360
0.02368164,-0.005203247,0.005142212,1508224065402
-0.018920898,-0.0030670166,0.009399414,1508224065425
-0.026382446,0.028884888,-0.0076446533,1508224065451
-0.021057129,0.0256958,-0.033203125,1508224065472
0.018356323,0.050201416,-0.049179077,1508224065493
0.050323486,0.059783936,-0.051315308,1508224065509
0.07588196,0.024627686,-0.027877808,1508224065538
0.052444458,-9.460449E-4,-0.019363403,1508224065559
0.03753662,0.021438599,-0.0076446533,1508224065585
-8.087158E-4,0.012908936,-0.0119018555,1508224065612
-0.026382446,-0.020111084,0.006210327,1508224065645
0.020492554,0.016113281,0.0115356445,1508224065666
0.04925537,0.050201416,0.020065308,1508224065683
0.0013122559,-0.03715515,0.027511597,1508224065719
-0.025314331,-0.009460449,0.028579712,1508224065740
-0.029571533,0.015045166,0.028579712,1508224065767
-0.0466156,-0.0073242188,0.0040740967,1508224065794
-0.07537842,0.003326416,-0.028945923,1508224065825
-0.104141235,0.13114929,-0.016159058,1508224065851
-0.14248657,0.16204834,-0.016159058,1508224065871
-0.1914978,-0.019042969,0.008346558,1508224065887
-0.20854187,-0.16392517,8.8500977E-4,1508224065908
-0.045547485,-0.0765686,0.006210327,1508224065937
0.053512573,-0.019042969,0.018997192,1508224065958
0.10038757,0.007583618,0.013671875,1508224065974
0.04499817,-0.049942017,0.0040740967,1508224065994
0.0066375732,-0.069122314,0.0030212402,1508224066010
0.029006958,-0.030761719,8.8500977E-4,1508224066032
0.08227539,0.010772705,0.0030212402,1508224066052
0.071624756,-0.0062713623,0.013671875,1508224066078
0.032211304,0.0022583008,0.017929077,1508224066099
-0.0040130615,0.0256958,0.023254395,1508224066120
-0.019989014,-9.460449E-4,0.015792847,1508224066141
0.002380371,0.008651733,-1.8310547E-4,1508224066167
0.048187256,0.031021118,0.0030212402,1508224066189
0.05883789,-0.010528564,-0.002319336,1508224066216
0.04499817,0.020370483,-0.012969971,1508224066237
0.052444458,0.028884888,-0.02255249,1508224066263
0.06736755,0.03527832,-0.012969971,1508224066279
0.057769775,0.0043945312,-0.02041626,1508224066305
0.055648804,-0.010528564,-0.017227173,1508224066327
0.071624756,-0.009460449,-0.028945923,1508224066353
0.06843567,0.012908936,-0.019363403,1508224066380
